Charge,Mass,SMILES
+2,40.078,[CA++]
0,196.106,C[Se]CCC(N)C(O)=O
-2,96.0636,[O-0S([O-])(=O)=O
+2,24.305,[Mg++]
+2,65.39,[Zn++]
0,386.655,C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)O)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C
0,254.409,C(CCCCCCC/C=CCCCCCC)(=O)O
+1,22.9898,[Na+]
-1,59.044,CC([O-])=O
+2,54.938,[Mn++]
-1,34.4527,[Cl-]
0,62.0678,OCCO
0,92.0094,OCC(O)CO
0,88.0621,CC(=O)C(O)=O
0,785.55,Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n3cnc4c(N)ncnc34)c2cc1C
0,116.072,OC(=O)C=C/C(O)=O
0,60.052,CC(O)=O
+1,744.413,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O
0,68.077,NULL
-1,58.0834,[S-]C#N
-1,136.989,C[As](C)([O-])=O
0,663.425,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O
