Molecular_Weight,Melting_Point,IUPAC_Name
188.22,250,N6-acetyl-L-lysine
199.1,NULL,O3-phosphono-L-threonine
185.07,170,O-phosphonoe-L-serine
261.25,NULL,O4-sulfo-L-tyrosine
261.17,NULL,O4-phosphono-L-tyrosine
147.13,207.6,N-acetyl-L-serine
202.25,195,NULL
175.19,235.5,L-citrulline
145.16,NULL,5-formyl-DL-norvaline
189.28,NULL,"N6,N6,N6-trimethyl-L-lysine"
174.24,NULL,"N6,N6-dimethyl-L-lysine"
117.1,206,N-acetyl-glycine
160.21,NULL,N6-methyl-L-lysine
191.25,105.5,N-acetyl-L-methionine
375.31,NULL,"(2S)-2-amino-6-[[3-hydroxy-2-methyl-5-(phosphonooxymethyl)pyridin-4-yl]methylideneamino]hexanoic acid"
175.14,137,"N-acetyl-L aspartic acid"
235.13,NULL,N-phosphono-L-histidine
161.16,NULL,N-acetyl-L-threonine
